Tree	Shift_order	Net_Diversification	Relative_Extinction	Taxa_No
61	1	0.151965121	0.024122021	Background
61	2	0.197052664	0.929245815	6_S_Am
61	3	0.233988403	0.64367496	0_Euphrasia
62	1	0.099687021	0.530972932	Background
62	2	0.277029559	0.414482849	5_Euph_Bart_No_Africa
62	3	0.070004582	3.03E-06	4_Africa
63	1	0.073690835	0.714522504	Background
63	2	0.230856228	0.577384513	5_Euph_Bart_No_Africa
63	3	0.06919372	8.28E-08	4_Africa
64	1	0.129164603	2.40E-07	Background
64	2	0.259426656	1.57E-05	7_Internal
65	1	0.124324007	0.147390351	Background
65	2	0.257956724	0.402196874	5_Euph_Bart_No_Africa
65	3	0.06229529	2.26E-07	4_Africa
66	1	0.146410421	1.55E-06	Background
66	2	0.187345317	0.921811085	6_S_Am
66	3	0.217992072	0.736132225	0_Euphrasia
67	1	0.132693695	3.51E-07	Background
67	2	0.182056209	0.936554982	6_S_Am
67	3	0.175995121	0.836466073	0_Euphrasia
68	1	0.093774182	0.706505759	Background
68	2	0.218037502	0.869311682	5_Euph_Bart_No_Africa
68	3	0.073824031	1.31E-06	4_Africa
69	1	0.136427245	1.48E-07	Background
69	2	0.273194366	0.535532574	5_Euph_Bart_No_Africa
69	3	0.06389235	4.46E-08	4_Africa
70	1	0.114651588	0.29803971	Background
70	2	0.298571225	2.50E-06	5_Euph_Bart_No_Africa
70	3	0.064829018	3.07E-08	4_Africa
71	1	0.120294266	3.16E-07	Background
71	2	0.240618397	0.376715037	5_Euph_Bart_No_Africa
71	3	0.059556704	8.73E-07	4_Africa
72	1	0.106123622	0.517257306	Background
72	2	0.263994606	0.305933331	5_Euph_Bart_No_Africa
72	3	0.063733744	1.78E-07	4_Africa
73	1	0.191009512	0.077332321	Background
73	2	2.27E-17	3.90E-06	3_B_alpina
74	1	0.22168494	4.81E-07	Background
74	2	0.41475961	0.763602343	6_S_Am
75	1	0.165530907	0.189398822	Background
75	2	0.316741303	0.875619637	6_S_Am
75	3	0.187184543	0.923899359	0_Euphrasia
76	1	0.242725349	3.97E-06	Background
76	2	0.286772077	0.890935707	6_S_Am
76	3	2.27E-17	3.90E-06	3_B_alpina
77	1	0.189151119	1.43E-06	Background
77	2	2.27E-17	3.90E-06	3_B_alpina
78	1	0.229001603	1.15E-05	Background
78	2	2.27E-17	3.90E-06	3_B_alpina
79	1	0.099942051	0.653804263	Background
