Tree	Shift_order	Net_Diversification	Relative_Extinction	Taxa_No
235	2	0.252478524	2.70E-07	7_Internal
236	1	0.114465438	0.509679637	Background
236	2	0.291744523	0.193264841	5_Euph_Bart_No_Africa
236	3	0.064282838	1.57E-08	4_Africa
237	1	0.161828946	1.30E-07	Background
237	2	0.235756828	0.884999672	6_S_Am
237	3	0.191048794	0.877780797	0_Euphrasia
238	1	0.149511733	2.64E-07	Background
238	2	0.264296689	0.926209403	6_S_Am
238	3	0.216391025	0.746557384	0_Euphrasia
239	1	0.204884704	8.81E-08	Background
239	2	0.240515944	0.898672743	6_S_Am
240	1	0.210647479	3.68E-07	Background
240	2	0.255737859	0.929031615	6_S_Am
241	1	0.129787347	1.61E-05	Background
241	2	0.245166538	0.800215236	6_S_Am
241	3	0.18996136	0.693997215	0_Euphrasia
242	1	0.211417473	1.12E-05	Background
242	2	2.27E-17	3.90E-06	3_B_alpina
243	1	0.223538137	0.015026605	Background
243	2	2.27E-17	3.90E-06	3_B_alpina
244	1	0.106826347	0.636734624	Background
244	2	0.306896031	0.059032596	5_Euph_Bart_No_Africa
244	3	0.064756914	1.91E-08	4_Africa
245	1	0.173021882	2.62E-07	Background
245	2	0.196218927	0.917279238	6_S_Am
246	1	0.124065273	0.319656304	Background
246	2	0.330856107	7.05E-07	5_Euph_Bart_No_Africa
246	3	0.076904852	2.93E-06	4_Africa
247	1	0.123420509	0.597241523	Background
247	2	0.371181378	1.18E-05	5_Euph_Bart_No_Africa
247	3	0.086316389	7.48E-08	4_Africa
248	1	0.170489539	1.49E-08	Background
248	2	0.2069508	0.924272077	6_S_Am
248	3	0.15967642	0.951072635	0_Euphrasia
249	1	0.207906527	1.80E-06	Background
250	1	0.211755837	9.34E-07	Background
251	1	0.088516427	0.779232959	Background
251	2	0.317559549	5.50E-05	7_Internal
252	1	0.08079583	0.760572043	Background
252	2	0.264813614	0.598570992	5_Euph_Bart_No_Africa
252	3	0.073214726	0.000133135	4_Africa
253	1	0.126898533	0.540055922	Background
253	2	0.289055672	0.556179845	5_Euph_Bart_No_Africa
253	3	0.068814905	4.41E-08	4_Africa
254	1	0.138396684	0.109183624	Background
254	2	0.264951438	0.559661076	5_Euph_Bart_No_Africa
254	3	0.077150642	5.52E-08	4_Africa
255	1	0.107332459	0.597017586	Background
255	2	0.298557248	8.95E-06	7_Internal
256	1	0.1702181	1.92E-07	Background
256	2	0.250557904	0.932103556	6_S_Am
256	3	0.219180103	0.811829031	0_Euphrasia
257	1	0.088451726	0.612353518	Background
257	2	0.198389854	0.791445188	5_Euph_Bart_No_Africa
257	3	0.062954034	4.24E-07	4_Africa
258	1	0.172382935	0.000168315	Background
259	1	0.195267521	0.099272571	Background
260	1	0.067896828	0.673637308	Background
260	2	0.179072081	1.75E-06	7_Internal
261	1	0.242989822	0.000219615	Background
261	2	2.27E-17	3.90E-06	3_B_alpina
262	1	0.111458118	0.260241063	Background
262	2	0.246028843	2.18E-05	7_Internal
263	1	0.115091717	0.586105245	Background
263	2	0.373578849	6.52E-05	7_Internal
264	1	0.121701673	0.528847452	Background
264	2	0.297338211	0.000141417	7_Internal
265	1	0.212169664	2.77E-05	Background
265	2	0.233510129	0.903756299	6_S_Am
265	3	2.27E-17	3.90E-06	3_B_alpina
266	1	0.149829916	2.92E-07	Background
266	2	0.211910124	0.905251132	6_S_Am
266	3	0.190712103	0.876493018	0_Euphrasia
267	1	0.12246637	0.395773485	Background
267	2	0.294789121	6.87E-05	5_Euph_Bart_No_Africa
267	3	0.061918501	2.26E-07	4_Africa
268	1	0.201556216	0.476372876	Background
268	2	0.056769963	8.44E-07	4_Africa
268	3	2.27E-17	3.90E-06	3_B_alpina
269	1	0.181462105	4.15E-05	Background
269	2	0.294659818	0.880700091	6_S_Am
269	3	0.200369612	0.914658139	0_Euphrasia
270	1	0.105811403	0.60458614	Background
270	2	0.246164735	0.613696197	5_Euph_Bart_No_Africa
270	3	0.070208894	1.42E-07	4_Africa
271	1	0.130591708	0.154771962	Background
271	2	0.307620505	1.55E-07	7_Internal
272	1	0.134778529	0.479716156	Background
272	2	0.303637671	0.512478681	5_Euph_Bart_No_Africa
272	3	0.08452155	3.09E-08	4_Africa
273	1	0.088447358	0.688115524	Background
273	2	0.258811235	3.74E-07	7_Internal
274	1	0.161609634	0.393970318	Background
275	1	0.200891729	4.24E-07	Background
275	2	0.239616416	0.878418539	6_S_Am
275	3	2.27E-17	3.90E-06	3_B_alpina
276	1	0.125887384	0.274079039	Background
276	2	0.311182268	0.880508682	6_S_Am
276	3	0.204220038	0.753527847	0_Euphrasia
277	1	0.129999832	0.539415537	Background
277	2	0.282320586	0.949477073	6_S_Am
277	3	0.18920238	0.935136413	0_Euphrasia
279	1	0.10074723	0.662842944	Background
279	2	0.244149836	0.857365649	5_Euph_Bart_No_Africa
279	3	0.090771075	1.51E-07	4_Africa
282	1	0.130493489	0.371760621	Background
282	2	0.291171233	0.007608281	7_Internal
283	1	0.121849663	0.337289398	Background
283	2	0.314393603	6.56E-08	7_Internal
284	1	0.176034376	8.04E-08	Background
284	2	0.244693373	0.80300464	6_S_Am
284	3	2.27E-17	3.90E-06	3_B_alpina
285	1	0.11433789	0.287629458	Background
285	2	0.282818997	0.005713185	5_Euph_Bart_No_Africa
285	3	0.061607737	2.53E-07	4_Africa
286	1	0.217246835	1.77E-06	Background
287	1	0.131152723	7.49E-07	Background
287	2	0.155760419	0.939325927	6_S_Am
287	3	0.154435924	0.89359098	0_Euphrasia
288	1	0.157260662	3.97E-05	Background
288	2	0.289924471	2.87E-05	7_Internal
289	1	0.073452191	0.799443594	Background
289	2	0.257415634	2.45E-06	7_Internal
290	1	0.076692729	0.79176604	Background
290	2	0.244746386	0.652349687	5_Euph_Bart_No_Africa
290	3	0.069659973	1.08E-07	4_Africa
291	1	0.205844439	3.09E-07	Background
291	2	0.255274016	0.944827737	6_S_Am
292	1	0.130294926	0.094890372	Background
292	2	0.222313437	0.916942945	6_S_Am
292	3	0.173091647	0.850803577	0_Euphrasia
293	1	0.087729819	0.728597418	Background
293	2	0.299819561	0.282468903	5_Euph_Bart_No_Africa
293	3	0.071782406	8.15E-08	4_Africa
294	1	0.109818411	0.595000226	Background
294	2	0.300371422	3.99E-07	7_Internal
295	1	0.225758655	5.12E-06	Background
295	2	2.27E-17	3.90E-06	3_B_alpina
296	1	0.101777204	0.441398971	Background
296	2	0.235337062	0.620096971	5_Euph_Bart_No_Africa
296	3	0.060500612	6.56E-07	4_Africa
297	1	0.152001726	7.20E-07	Background
297	2	0.334902711	0.833902111	6_S_Am
297	3	0.221164081	0.714525576	0_Euphrasia
298	1	0.134643703	0.151190818	Background
298	2	0.314551791	0.870254862	6_S_Am
298	3	0.168602627	0.868902013	0_Euphrasia
299	1	0.122128371	0.495673138	Background
299	2	0.287506561	0.640074001	5_Euph_Bart_No_Africa
299	3	0.082615083	1.16E-06	4_Africa
300	1	0.140656382	8.47E-07	Background
300	2	0.262581372	0.166425035	7_Internal
301	1	0.12109224	1.11E-05	Background
301	2	0.256679661	6.65E-08	7_Internal
302	1	0.104274592	0.51707433	Background
302	2	0.25341565	0.665912459	5_Euph_Bart_No_Africa
302	3	0.081859667	8.52E-08	4_Africa
303	1	0.157334257	5.01E-07	Background
303	2	0.300178762	0.883465607	6_S_Am
303	3	0.19755309	0.852597486	0_Euphrasia
304	1	0.157532261	2.52E-07	Background
304	2	0.300084779	0.863683626	6_S_Am
304	3	0.191048794	0.877780797	0_Euphrasia
305	1	0.116875451	0.548728449	Background
305	2	0.288642091	8.18E-08	7_Internal
306	1	0.136198292	0.402783414	Background
306	2	0.331115341	0.108961148	5_Euph_Bart_No_Africa
306	3	0.075313446	6.76E-08	4_Africa
307	1	0.226529135	1.28E-05	Background
308	1	0.140337585	3.96E-07	Background
308	2	0.262434562	1.11E-06	7_Internal
309	1	0.224716516	5.46E-07	Background
310	1	0.22695603	0.000513936	Background
310	2	2.27E-17	3.90E-06	3_B_alpina
311	1	0.200405764	1.40E-07	Background
312	1	0.114248549	0.426482738	Background
312	2	0.257921438	0.230738653	5_Euph_Bart_No_Africa
312	3	0.06097974	1.68E-08	4_Africa
313	1	0.200483735	1.44E-06	Background
313	2	0.306129212	0.85759199	6_S_Am
314	1	0.136776049	0.319586627	Background
314	2	0.297784601	5.06E-07	7_Internal
315	1	0.137602909	0.239597027	Background
315	2	0.298658923	2.18E-05	7_Internal
316	1	0.135682968	0.031413685	Background
316	2	0.279181559	0.754953884	5_Euph_Bart_No_Africa
316	3	0.079948561	9.60E-08	4_Africa
317	1	0.115951343	0.598269405	Background
317	2	0.286111417	0.642018292	5_Euph_Bart_No_Africa
317	3	0.090532023	1.83E-07	4_Africa
318	1	0.149546386	0.346417757	Background
318	2	0.322938746	0.878739057	6_S_Am
318	3	0.189952281	0.920650114	0_Euphrasia
319	1	0.065919101	0.836637961	Background
319	2	0.267189367	0.23878941	7_Internal
320	1	0.147787015	0.108508998	Background
320	2	0.222868553	0.914941373	6_S_Am
320	3	0.23602548	0.629382935	0_Euphrasia
321	1	0.131371089	0.260198457	Background
321	2	0.258912226	0.931371817	6_S_Am
321	3	0.196198928	0.857568812	0_Euphrasia
322	1	0.133825656	0.297611354	Background
322	2	0.285314584	1.21E-05	7_Internal
323	1	0.138789073	4.38E-07	Background
323	2	0.228282398	0.86381861	6_S_Am
323	3	0.199697573	0.763754361	0_Euphrasia
325	1	0.140980149	0.589776189	Background
325	2	0.2658128	0.945993227	6_S_Am
325	3	0.186008237	0.944072115	0_Euphrasia
326	1	0.138099851	0.443180987	Background
326	2	0.396967922	0.806018549	6_S_Am
326	3	0.167983894	0.944921146	0_Euphrasia
327	1	0.103723233	0.588977943	Background
327	2	0.301469689	1.40E-07	7_Internal
328	1	0.131736882	0.167308322	Background
328	2	0.265393821	0.230712963	5_Euph_Bart_No_Africa
328	3	0.062207607	6.78E-07	4_Africa
329	1	0.098303559	0.69522686	Background
329	2	0.294167035	1.92E-07	7_Internal
330	1	0.126244375	3.52E-08	Background
330	2	0.14726497	0.944951669	6_S_Am
330	3	0.19879818	0.626621808	0_Euphrasia
331	1	0.150256801	0.278285945	Background
331	2	0.31168384	0.912035355	6_S_Am
331	3	0.158877649	0.951013743	0_Euphrasia
332	1	0.150264728	0.009586152	Background
332	2	0.273133013	0.942601863	6_S_Am
332	3	0.161249417	0.948746852	0_Euphrasia
333	1	0.154345567	1.87E-06	Background
333	2	0.242942674	0.941145666	6_S_Am
333	3	0.227556823	0.66849186	0_Euphrasia
334	1	0.192946351	8.24E-08	Background
334	2	0.337353963	0.824692479	6_S_Am
335	1	0.120800928	0.316672012	Background
335	2	0.265889018	2.91E-05	7_Internal
336	1	0.095428699	0.614032291	Background
336	2	0.236046587	0.678595726	5_Euph_Bart_No_Africa
336	3	0.067770036	1.39E-07	4_Africa
337	1	0.224467863	4.01E-06	Background
337	2	0.402852697	0.792058756	6_S_Am
337	3	2.27E-17	3.90E-06	3_B_alpina
338	1	0.104315476	0.602601598	Background
338	2	0.251502843	1.40E-06	7_Internal
339	1	0.104770507	0.658540047	Background
339	2	0.280651833	0.000128825	7_Internal
340	1	0.224416508	0.070539975	Background
341	1	0.250013484	7.26E-07	Background
341	2	2.27E-17	3.90E-06	3_B_alpina
342	1	0.202263271	4.71E-07	Background
342	2	2.27E-17	3.90E-06	3_B_alpina
343	1	0.19882887	3.21E-06	Background
344	1	0.130325642	3.24E-07	Background
344	2	0.270908512	1.32E-05	5_Euph_Bart_No_Africa
344	3	0.062659478	1.58E-08	4_Africa
345	1	0.207928306	3.93E-06	Background
345	2	0.301876176	0.858753317	6_S_Am
346	1	0.123989384	0.083104235	Background
346	2	0.26006403	0.417937463	5_Euph_Bart_No_Africa
346	3	0.055274207	1.82E-06	4_Africa
347	1	0.107064893	0.671538815	Background
347	2	0.308726459	0.179731257	5_Euph_Bart_No_Africa
347	3	0.069258165	7.51E-07	4_Africa
348	1	0.194075625	1.30E-06	Background
348	2	2.27E-17	3.90E-06	3_B_alpina
349	1	0.142854791	0.055412586	Background
349	2	0.288506792	0.242364514	5_Euph_Bart_No_Africa
349	3	0.068854905	8.41E-08	4_Africa
350	1	0.118373709	0.496050075	Background
350	2	0.279178701	4.87E-06	7_Internal
351	1	0.160219526	0.041170728	Background
351	2	0.270127442	0.88349628	6_S_Am
351	3	0.189942871	0.880177066	0_Euphrasia
352	1	0.114611699	0.382427131	Background
352	2	0.233461114	0.685209008	5_Euph_Bart_No_Africa
352	3	0.074029503	5.39E-08	4_Africa
353	1	0.129427288	0.34211091	Background
353	2	0.314063169	6.59E-06	7_Internal
354	1	0.098210449	0.467226767	Background
354	2	0.255890732	3.92E-06	7_Internal
355	1	0.113096675	0.219690124	Background
355	2	0.252530263	0.283680529	5_Euph_Bart_No_Africa
355	3	0.059208971	2.89E-07	4_Africa
356	1	0.122940024	0.501738649	Background
356	2	0.322953587	0.535598408	5_Euph_Bart_No_Africa
356	3	0.093035616	3.47E-07	4_Africa
357	1	0.155975555	1.38E-06	Background
357	2	0.270068884	0.927311302	6_S_Am
357	3	0.157779253	0.942297695	0_Euphrasia
358	1	0.184395382	0.033957998	Background
358	2	0.267523541	0.945637316	6_S_Am
358	3	0.186736582	0.952472154	0_Euphrasia
359	1	0.174052	4.63E-06	Background
359	2	0.319463717	0.881179031	6_S_Am
359	3	0.164697242	0.953810605	0_Euphrasia
360	1	0.092749213	0.679215759	Background
360	2	0.257299207	0.496915557	5_Euph_Bart_No_Africa
360	3	0.067367218	2.15E-07	4_Africa
361	1	0.13564824	0.102857979	Background
361	2	0.267238093	0.48663418	5_Euph_Bart_No_Africa
361	3	0.067254128	1.36E-08	4_Africa
362	1	0.139424758	3.30E-06	Background
362	2	0.257245892	0.526403768	5_Euph_Bart_No_Africa
362	3	0.063985083	2.18E-08	4_Africa
363	1	0.116043669	0.399771703	Background
363	2	0.257764169	0.777510923	5_Euph_Bart_No_Africa
363	3	0.089304258	3.52E-07	4_Africa
364	1	0.145390674	0.106985591	Background
364	2	0.301644393	0.748847076	5_Euph_Bart_No_Africa
364	3	0.075240564	1.03E-07	4_Africa
365	1	0.109025891	0.145933474	Background
365	2	0.237617427	0.626495664	5_Euph_Bart_No_Africa
365	3	0.055218281	1.08E-07	4_Africa
366	1	0.126535279	0.163867143	Background
366	2	0.210583113	0.796431921	5_Euph_Bart_No_Africa
366	3	0.069084167	6.22E-08	4_Africa
367	1	0.109787244	0.491904607	Background
367	2	0.295795497	0.504660794	5_Euph_Bart_No_Africa
367	3	0.08241489	1.17E-07	4_Africa
368	1	0.113995351	1.19E-05	Background
368	2	0.250800795	0.589184704	5_Euph_Bart_No_Africa
368	3	0.060176525	1.28E-07	4_Africa
369	1	0.131886045	0.160666028	Background
369	2	0.27110074	1.43E-05	7_Internal
370	1	0.134130636	9.54E-08	Background
370	2	0.252041734	2.01E-06	7_Internal
371	1	0.138333943	0.127865082	Background
371	2	0.30248358	1.44E-07	7_Internal
372	1	0.153018977	1.16E-06	Background
372	2	0.250545985	0.902548142	6_S_Am
372	3	0.1981527	0.854329627	0_Euphrasia
373	1	0.143928783	3.91E-07	Background
373	2	0.198962976	0.915137269	6_S_Am
374	1	0.155581816	9.22E-07	Background
374	2	0.189164163	0.91563326	6_S_Am
374	3	0.195465831	0.859304539	0_Euphrasia
375	1	0.178239351	1.48E-06	Background
375	2	0.175099969	0.927935368	6_S_Am
376	1	0.194738056	1.89E-06	Background
376	2	0.308556703	0.853264823	6_S_Am
377	1	0.126492779	7.66E-06	Background
377	2	0.233596331	0.597902909	5_Euph_Bart_No_Africa
377	3	0.057521655	8.66E-05	4_Africa
378	1	0.147715085	6.02E-06	Background
378	2	0.177068747	0.9275118	6_S_Am
378	3	0.168341026	0.885332069	0_Euphrasia
379	1	0.121088236	0.256027394	Background
379	2	0.24192805	0.782665334	5_Euph_Bart_No_Africa
379	3	0.075551003	2.42E-07	4_Africa
380	1	0.128878973	3.12E-08	Background
380	2	0.221892247	0.841258898	5_Euph_Bart_No_Africa
380	3	0.075854532	1.70E-07	4_Africa
381	1	0.128676539	0.380595844	Background
381	2	0.292585814	0.319923369	5_Euph_Bart_No_Africa
381	3	0.068182438	1.78E-07	4_Africa
382	1	0.113018306	0.389041046	Background
382	2	0.259543259	0.583591883	5_Euph_Bart_No_Africa
382	3	0.07229559	1.41E-07	4_Africa
383	1	0.119066163	0.2944617	Background
383	2	0.180250568	0.924664481	6_S_Am
383	3	0.172734204	0.846747472	0_Euphrasia
384	1	0.13513199	0.158155344	Background
384	2	0.285153643	4.45E-06	7_Internal
385	1	0.125363627	0.415238823	Background
385	2	0.349027633	0.000104695	7_Internal
386	1	0.148492222	1.84E-06	Background
386	2	0.336574099	3.02E-07	7_Internal
387	1	0.216370394	4.59E-07	Background
387	2	0.254297304	0.899312985	6_S_Am
388	1	0.11330471	0.642191919	Background
388	2	0.257603892	0.767505048	5_Euph_Bart_No_Africa
388	3	0.093964214	1.49E-07	4_Africa
389	1	0.153406862	0.06708346	Background
389	2	0.279663126	0.565989967	5_Euph_Bart_No_Africa
389	3	0.073801466	1.69E-07	4_Africa
390	1	0.096255446	0.75462394	Background
390	2	0.267649363	0.544932676	5_Euph_Bart_No_Africa
390	3	0.072401274	2.37E-06	4_Africa
391	1	0.134357845	9.80E-07	Background
391	2	0.250196343	0.722836168	5_Euph_Bart_No_Africa
391	3	0.071834904	4.09E-07	4_Africa
392	1	0.161548684	2.53E-06	Background
392	2	0.279949512	0.870371907	6_S_Am
392	3	0.217934582	0.820331553	0_Euphrasia
393	1	0.141111992	0.25383127	Background
393	2	0.269028339	0.677302581	5_Euph_Bart_No_Africa
393	3	0.082994104	6.13E-05	4_Africa
394	1	0.14184241	0.250420609	Background
394	2	0.24816806	0.823912228	5_Euph_Bart_No_Africa
394	3	0.082647796	5.25E-08	4_Africa
395	1	0.122902404	0.421818518	Background
395	2	0.282338167	0.823626359	5_Euph_Bart_No_Africa
395	3	0.095616654	8.52E-07	4_Africa
396	1	0.102572986	0.619962669	Background
396	2	0.249621748	0.849529891	5_Euph_Bart_No_Africa
396	3	0.099636342	1.96E-07	4_Africa
397	1	0.103990607	0.54532427	Background
397	2	0.291410263	3.81E-05	7_Internal
398	1	0.128003109	0.008417055	Background
398	2	0.237712035	4.67E-06	7_Internal
399	1	0.155411033	4.32E-07	Background
399	2	0.256672292	0.866765876	6_S_Am
399	3	0.187212232	0.875360697	0_Euphrasia
400	1	0.131452532	1.28E-06	Background
400	2	0.23595044	1.71E-06	7_Internal
401	1	0.208907561	0.000549772	Background
402	1	0.089859104	0.633341962	Background
402	2	0.234257133	0.693007234	5_Euph_Bart_No_Africa
402	3	0.065636496	1.13E-06	4_Africa
403	1	0.059907091	0.89716799	Background
403	2	0.312673704	0.242569751	5_Euph_Bart_No_Africa
403	3	0.076607954	1.58E-07	4_Africa
404	1	0.231807659	2.61E-05	Background
404	2	0.277475612	0.903647896	6_S_Am
405	1	0.188212149	8.51E-08	Background
405	2	0.176072856	0.930966833	6_S_Am
406	1	0.176411442	5.71E-07	Background
406	2	0.224908383	0.906000962	6_S_Am
407	1	0.146618518	0.10362226	Background
407	2	0.27355896	0.944733661	6_S_Am
407	3	0.158224015	0.952257632	0_Euphrasia
408	1	0.185814416	4.49E-06	Background
408	2	0.250059835	0.890814633	6_S_Am
409	1	0.136605734	1.01E-06	Background
409	2	0.259126594	0.459052468	5_Euph_Bart_No_Africa
409	3	0.05779285	5.16E-08	4_Africa
410	1	0.145192061	3.40E-07	Background
410	2	0.246420038	0.869979139	6_S_Am
410	3	0.193409572	0.801430998	0_Euphrasia
411	1	0.114785846	0.398647091	Background
411	2	0.256831543	0.101341144	7_Internal
412	1	0.14523274	9.03E-08	Background
412	2	0.233850107	0.888000882	6_S_Am
412	3	0.232272087	0.66435727	0_Euphrasia
413	1	0.124839946	0.177679243	Background
413	2	0.224350378	0.750774113	5_Euph_Bart_No_Africa
413	3	0.069193329	1.43E-06	4_Africa
414	1	0.228048799	0.202850528	Background
414	2	2.27E-17	3.90E-06	3_B_alpina
415	1	0.122346804	0.373210517	Background
415	2	0.293080292	0.288005933	5_Euph_Bart_No_Africa
415	3	0.066930645	1.43E-07	4_Africa
416	1	0.124591549	0.407013869	Background
416	2	0.300677806	4.08E-05	7_Internal
417	1	0.153276805	1.61E-06	Background
417	2	0.279244014	0.893983367	6_S_Am
417	3	0.202742113	0.852386421	0_Euphrasia
418	1	0.136697704	0.194829605	Background
418	2	0.225352184	0.796485924	5_Euph_Bart_No_Africa
418	3	0.093734628	1.67E-07	4_Africa
419	1	0.109731575	0.628241779	Background
419	2	0.309179069	0.275451081	7_Internal
420	1	0.053638788	0.879679885	Background
420	2	0.247558897	1.23E-06	7_Internal
421	1	0.132441423	0.046007718	Background
421	2	0.297938517	5.31E-06	5_Euph_Bart_No_Africa
421	3	0.068695818	1.74E-07	4_Africa
422	1	0.130555302	0.10663928	Background
422	2	0.247290796	0.419508539	5_Euph_Bart_No_Africa
422	3	0.059321675	2.55E-06	4_Africa
423	1	0.142869002	0.210323023	Background
423	2	0.301932156	9.45E-05	7_Internal
424	1	0.154285227	1.09E-06	Background
424	2	0.434991485	0.72942926	6_S_Am
424	3	0.191754011	0.88700064	0_Euphrasia
425	1	0.207224032	0.493901981	Background
425	2	2.27E-17	3.90E-06	3_B_alpina
426	1	0.198384983	5.81E-07	Background
426	2	0.304818623	0.851438275	6_S_Am
427	1	0.098542108	0.693330157	Background
427	2	0.271926868	0.61111181	5_Euph_Bart_No_Africa
427	3	0.07514105	4.65E-08	4_Africa
428	1	0.087019589	0.639739419	Background
428	2	0.226308178	0.660050036	5_Euph_Bart_No_Africa
428	3	0.062409904	1.61E-07	4_Africa
429	1	0.20479814	3.68E-07	Background
429	2	0.244478082	0.894900573	6_S_Am
430	1	0.155473607	0.172253322	Background
430	2	0.274613359	0.923747173	6_S_Am
430	3	0.216156932	0.824414608	0_Euphrasia
431	1	0.227497984	6.77E-07	Background
431	2	0.258393568	0.944503457	6_S_Am
431	3	2.27E-17	3.90E-06	3_B_alpina
432	1	0.232775579	4.26E-07	Background
432	2	0.216364723	0.968248795	6_S_Am
432	3	2.27E-17	3.90E-06	3_B_alpina
433	1	0.171418162	0.000769125	Background
433	2	0.375788921	0.835252375	6_S_Am
433	3	0.183426329	0.931582616	0_Euphrasia
434	1	0.15935889	3.53E-07	Background
434	2	0.286607216	0.92616991	6_S_Am
434	3	0.183252611	0.920256139	0_Euphrasia
435	1	0.183253922	4.57E-05	Background
435	2	0.418056331	0.763585154	6_S_Am
435	3	0.184140822	0.932090662	0_Euphrasia
436	1	0.170803107	6.03E-07	Background
436	2	0.249999099	0.948538937	6_S_Am
436	3	0.172740816	0.938738886	0_Euphrasia
437	1	0.102392907	0.623643729	Background
437	2	0.055709165	5.69E-08	4_Africa
437	3	0.253602885	0.36211698	5_Euph_Bart_No_Africa
438	1	0.241804142	0.188006195	Background
438	2	2.27E-17	3.90E-06	3_B_alpina
439	1	0.200408159	0.632907023	Background
439	2	0.067574369	7.35E-06	4_Africa
439	3	2.27E-17	3.90E-06	3_B_alpina
440	1	0.110344079	0.611399224	Background
440	2	0.310471659	8.65E-06	5_Euph_Bart_No_Africa
440	3	0.06627885	5.53E-08	4_Africa
441	1	0.182118491	9.53E-07	Background
441	2	0.265041895	0.881873403	6_S_Am
442	1	0.214618087	8.48E-07	Background
442	2	2.27E-17	3.90E-06	3_B_alpina
443	1	0.059368608	0.823099393	Background
443	2	0.231401501	4.41E-07	7_Internal
444	1	0.181036734	6.00E-07	Background
444	2	0.228570757	0.910228403	6_S_Am
445	1	0.163721715	2.34E-06	Background
445	2	0.297116723	0.865100873	6_S_Am
445	3	0.209352552	0.842840568	0_Euphrasia
446	1	0.125722273	0.410512496	Background
446	2	0.257887054	0.713025603	5_Euph_Bart_No_Africa
446	3	0.090552929	7.49E-07	4_Africa
447	1	0.243234454	3.99E-07	Background
447	2	0.42782427	0.751458401	6_S_Am
448	1	0.097891257	0.695846022	Background
448	2	0.264381622	0.777047796	5_Euph_Bart_No_Africa
448	3	0.097044432	6.56E-07	4_Africa
449	1	0.145079937	0.117257619	Background
449	2	0.270767805	0.781713151	5_Euph_Bart_No_Africa
449	3	0.092911576	1.35E-08	4_Africa
450	1	0.134477787	0.17910558	Background
450	2	0.244809111	0.264483888	7_Internal
451	1	0.225872493	3.80E-06	Background
451	2	2.27E-17	3.90E-06	3_B_alpina
452	1	0.151704519	0.00011224	Background
452	2	0.243945518	0.896035092	6_S_Am
452	3	0.223739331	0.698588495	0_Euphrasia
453	1	0.163137542	1.22E-06	Background
453	2	0.331317078	0.836947584	6_S_Am
453	3	0.198431182	0.870484239	0_Euphrasia
454	1	0.084106823	0.870000562	Background
454	2	0.08167271	1.66E-08	4_Africa
454	3	0.242036798	0.83352862	5_Euph_Bart_No_Africa
455	1	0.221692412	1.60E-06	Background
455	2	0.28146858	0.921107329	6_S_Am
455	3	2.27E-17	3.90E-06	3_B_alpina
456	1	0.150163083	9.16E-06	Background
456	2	0.319196192	0.905060191	6_S_Am
456	3	0.206921725	0.858849134	0_Euphrasia
457	1	0.121906314	0.276219823	Background
457	2	0.186903193	0.877255782	5_Euph_Bart_No_Africa
458	1	0.167859656	1.23E-06	Background
458	2	0.202804778	0.892061866	6_S_Am
459	1	0.198193247	0.648279495	Background
459	2	0.065199328	8.83E-08	4_Africa
459	3	2.27E-17	3.90E-06	3_B_alpina
460	1	0.174708365	0.176887906	Background
460	2	0.190747224	0.979732583	6_S_Am
460	3	0.195636412	0.951544907	0_Euphrasia
461	1	0.164634883	4.01E-06	Background
461	2	0.254735051	0.95838471	6_S_Am
461	3	0.180468233	0.907884556	0_Euphrasia
462	1	0.151725805	7.71E-08	Background
462	2	0.256728364	0.897402206	6_S_Am
462	3	0.176745635	0.897561832	0_Euphrasia
463	1	0.094804291	0.74799095	Background
463	2	0.282748425	0.661203888	5_Euph_Bart_No_Africa
463	3	0.073805329	5.80E-08	4_Africa
464	1	0.08936445	0.56232066	Background
464	2	0.292413273	0.039470545	5_Euph_Bart_No_Africa
464	3	0.064670857	1.15E-05	4_Africa
465	1	0.091675627	0.638992465	Background
465	2	0.267607641	5.01E-07	7_Internal
466	1	0.218117342	1.33E-05	Background
466	2	2.27E-17	3.90E-06	3_B_alpina
467	1	0.178584047	1.06E-06	Background
467	2	0.237760524	0.850109255	6_S_Am
467	3	2.27E-17	3.90E-06	3_B_alpina
469	1	0.245525363	3.70E-06	Background
469	2	2.27E-17	3.90E-06	3_B_alpina
470	1	0.17907241	3.43E-06	Background
470	2	0.242924364	0.842505626	6_S_Am
471	1	0.130004301	0.16176271	Background
471	2	0.281408986	5.10E-07	7_Internal
472	1	0.107892064	0.479419438	Background
472	2	0.286198145	9.39E-05	5_Euph_Bart_No_Africa
472	3	0.066148701	5.34E-07	4_Africa
473	1	0.158539959	5.30E-07	Background
473	2	0.316328972	0.87574944	6_S_Am
473	3	0.194053001	0.870371626	0_Euphrasia
474	1	0.108178568	0.39277766	Background
474	2	0.263500706	2.59E-07	7_Internal
475	1	0.131833647	4.86E-08	Background
475	2	0.277913542	7.72E-07	7_Internal
476	1	0.129525661	0.25500501	Background
476	2	0.315774632	0.185641051	7_Internal
477	1	0.124959059	0.040325501	Background
477	2	0.239634307	0.752155626	5_Euph_Bart_No_Africa
477	3	0.076522245	3.79E-07	4_Africa
478	1	0.144048877	1.15E-07	Background
478	2	0.299788672	0.585325818	5_Euph_Bart_No_Africa
478	3	0.083344055	3.91E-06	4_Africa
479	1	0.114354265	7.85E-05	Background
479	2	0.242924364	0.842505626	6_S_Am
479	3	0.183066028	0.578566739	0_Euphrasia
480	1	0.162048547	0.116438182	Background
